Licenses,Regex
CrystalStacker," ""licen[cs]e(id|[- ]identifier| name)?[: ](CrystalStacker|(.{1,32} (AND|OR)){1,4} CrystalStacker)"""
CUA_OPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CUA-OPL-1\.?0|(.{1,32} (AND|OR)){1,4} CUA-OPL-1\.?0)"""
Cube," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<Cube\>|(.{1,32} (AND|OR)){1,4} \<Cube\>)"""
curl," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<curl\>|(.{1,32} (AND|OR)){1,4} \<curl\>)"""
D_FSL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](D-FSL-1\.?0|(.{1,32} (AND|OR)){1,4} D-FSL-1\.?0)"""
diffmark," ""licen[cs]e(id|[- ]identifier| name)?[: ](diffmark|(.{1,32} (AND|OR)){1,4} diffmark)"""
DOC," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(DOC\>|(.{1,32} (AND|OR)){1,4} DOC\>)"""
Dotseqn," ""licen[cs]e(id|[- ]identifier| name)?[: ](Dotseqn|(.{1,32} (AND|OR)){1,4} Dotseqn)"""
DSDP," ""licen[cs]e(id|[- ]identifier| name)?[: ](DSDP|(.{1,32} (AND|OR)){1,4} DSDP)"""
dvipdfm," ""licen[cs]e(id|[- ]identifier| name)?[: ](dvipdfm|(.{1,32} (AND|OR)){1,4} dvipdfm)"""
EPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](EPL-1\.?0|(.{1,32} (AND|OR)){1,4} EPL-1\.?0)"""
EPL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](EPL-2\.?0|(.{1,32} (AND|OR)){1,4} EPL-2\.?0)"""
ECL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](ECL-1\.?0|(.{1,32} (AND|OR)){1,4} ECL-1\.?0)"""
ECL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](ECL-2\.?0|(.{1,32} (AND|OR)){1,4} ECL-2\.?0)"""
eGenix," ""licen[cs]e(id|[- ]identifier| name)?[: ](eGenix|(.{1,32} (AND|OR)){1,4} eGenix)"""
EFL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](EFL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} EFL[- ]1\.?0)"""
EFL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](EFL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} EFL[- ]2\.?0)"""
Glide," ""licen[cs]e(id|[- ]identifier| name)?[: ](Glide|(.{1,32} (AND|OR)){1,4} Glide)"""
Entessa," ""licen[cs]e(id|[- ]identifier| name)?[: ](Entessa|(.{1,32} (AND|OR)){1,4} Entessa)"""
EPICS," ""licen[cs]e(id|[- ]identifier| name)?[: ](EPICS|(.{1,32} (AND|OR)){1,4} EPICS)"""
ErlPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](ErlPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} ErlPL[- ]1\.?1)"""
etalab_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](etalab[- ]2\.?0|(.{1,32} (AND|OR)){1,4} etalab[- ]2\.?0)"""
EUDatagrid," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUDatagrid|(.{1,32} (AND|OR)){1,4} EUDatagrid)"""
EUPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} EUPL[- ]1\.?0)"""
EUPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} EUPL[- ]1\.?1)"""
EUPL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](EUPL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} EUPL[- ]1\.?2)"""
Eurosym," ""licen[cs]e(id|[- ]identifier| name)?[: ](Eurosym|(.{1,32} (AND|OR)){1,4} Eurosym)"""
Fair," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(Fair[[:space:]|\""]|(.{1,32} (AND|OR)){1,4} Fair[[:space:]|\""])"""
Frameworx_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](Frameworx[- ]1\.?0|(.{1,32} (AND|OR)){1,4} Frameworx[- ]1\.?0)"""
FreeImage," ""licen[cs]e(id|[- ]identifier| name)?[: ](FreeImage|(.{1,32} (AND|OR)){1,4} FreeImage)"""
FTL," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<FTL\>|(.{1,32} (AND|OR)){1,4} \<FTL\>)"""
FSFAP," ""licen[cs]e(id|[- ]identifier| name)?[: ](FSFAP|(.{1,32} (AND|OR)){1,4} FSFAP)"""
FSFUL," ""licen[cs]e(id|[- ]identifier| name)?[: ](FSFUL|(.{1,32} (AND|OR)){1,4} FSFUL)"""
FSFULLR," ""licen[cs]e(id|[- ]identifier| name)?[: ](FSFULLR|(.{1,32} (AND|OR)){1,4} FSFULLR)"""
Giftware," ""licen[cs]e(id|[- ]identifier| name)?[: ](Giftware|(.{1,32} (AND|OR)){1,4} Giftware)"""
GFDL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](GFDL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} GFDL[- ]1\.?1)"""
